FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-02-02,Buy,TER,880770102,TERADYNE INC,605664,0.2977
ARKF,2021-02-02,Buy,BEKE,482497104,KE HOLDINGS INC,114300,0.2451
ARKF,2021-02-02,Sell,SE,81141R100,SEA LTD,29463,0.2364
ARKQ,2021-02-02,Buy,LMT,539830109,LOCKHEED MARTIN CORP,16500,0.1759
ARKG,2021-02-02,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,81700,0.1571
ARKQ,2021-02-02,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,86227,0.1398
ARKK,2021-02-02,Buy,PCAR,693718108,PACCAR INC,353900,0.1323
ARKQ,2021-02-02,Sell,FLIR,302445101,FLIR SYSTEMS INC,65160,0.1139
ARKQ,2021-02-02,Sell,MTLS,57667T100,MATERIALISE NV,39000,0.0941
ARKQ,2021-02-02,Sell,BYDDY,05606L100,BYD CO LTD,37196,0.0825
ARKG,2021-02-02,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,36731,0.0641
ARKK,2021-02-02,Sell,SPLK,848637104,SPLUNK INC,66224,0.0476
ARKQ,2021-02-02,Sell,MTLS,57667T100,MATERIALISE NV,18976,0.0441
ARKW,2021-02-02,Sell,FSLY,31188V100,FASTLY INC,22800,0.0344
ARKG,2021-02-02,Buy,NVS,66987V109,NOVARTIS AG,30705,0.0243
ARKQ,2021-02-02,Sell,AVAV,008073108,AEROVIRONMENT INC,6193,0.0239
ARKK,2021-02-02,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,18210,0.0073
ARKG,2021-02-02,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,8401,0.0027
ARKK,2021-02-02,Buy,FATE,31189P102,FATE THERAPEUTICS INC,5878,0.0023
