FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-02-03,Buy,TER,880770102,TERADYNE INC,189234,0.7044
ARKW,2021-02-03,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,117796,0.5059
ARKK,2021-02-03,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,385932,0.498
ARKG,2021-02-03,Buy,NVS,66987V109,NOVARTIS AG,299907,0.2332
ARKG,2021-02-03,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,97415,0.1615
ARKQ,2021-02-03,Sell,NNDM,63008G203,NANO DIMENSION LTD,310800,0.1462
ARKK,2021-02-03,Buy,PCAR,693718108,PACCAR INC,318474,0.1231
ARKK,2021-02-03,Sell,SPLK,848637104,SPLUNK INC,173800,0.1217
ARKG,2021-02-03,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,57100,0.1072
ARKQ,2021-02-03,Sell,MTLS,57667T100,MATERIALISE NV,47430,0.1039
ARKW,2021-02-03,Sell,PSTG,74624M102,PURE STORAGE INC,261344,0.095
ARKK,2021-02-03,Sell,ROKU,77543R102,ROKU INC,53551,0.0924
ARKQ,2021-02-03,Sell,FLIR,302445101,FLIR SYSTEMS INC,50496,0.0842
ARKQ,2021-02-03,Sell,BYDDY,05606L100,BYD CO LTD,31150,0.0652
ARKK,2021-02-03,Buy,TER,880770102,TERADYNE INC,104809,0.0524
ARKQ,2021-02-03,Sell,AVAV,008073108,AEROVIRONMENT INC,13095,0.0484
ARKK,2021-02-03,Buy,FATE,31189P102,FATE THERAPEUTICS INC,98059,0.0394
ARKK,2021-02-03,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,25276,0.0015
