INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,
ARKF,2021-02-04,Buy,BILL,090043100,BILL.COM HOLDINGS INC,98899,0.4469,
ARKF,2021-02-04,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,66100,0.5743,
ARKF,2021-02-04,Sell,LSPD,53227R106,LIGHTSPEED POS INC,371800,0.8888,
ARKK,2021-02-04,Buy,PCAR,693718108,PACCAR INC,341900,0.1319,
ARKK,2021-02-04,Buy,NVS,66987V109,NOVARTIS AG,247057,0.0883,
ARKK,2021-02-04,Buy,FATE,31189P102,FATE THERAPEUTICS INC,56095,0.0227,
ARKK,2021-02-04,Sell,ROKU,77543R102,ROKU INC,73362,0.1243,
ARKK,2021-02-04,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,7639,0.0004,
ARKK,2021-02-04,Sell,SPLK,848637104,SPLUNK INC,75789,0.0519,
ARKQ,2021-02-04,Buy,TER,880770102,TERADYNE INC,90219,0.333,
ARKQ,2021-02-04,Sell,MTLS,57667T100,MATERIALISE NV,21159,0.0458,
ARKQ,2021-02-04,Sell,BYDDY,05606L100,BYD CO LTD,17865,0.0354,
ARKQ,2021-02-04,Sell,AVAV,008073108,AEROVIRONMENT INC,12619,0.0458,
ARKQ,2021-02-04,Sell,FLIR,302445101,FLIR SYSTEMS INC,44757,0.0726,
ARKW,2021-02-04,Sell,PSTG,74624M102,PURE STORAGE INC,180074,0.0654,
