INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,
ARKF,2021-02-09,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,20600,0.1671,
ARKF,2021-02-09,Sell,LSPD,53227R106,LIGHTSPEED POS INC,44100,0.0923,
ARKG,2021-02-09,Buy,NVS,66987V109,NOVARTIS AG,426773,0.3095,
ARKG,2021-02-09,Buy,RHHBY,771195104,ROCHE HOLDING AG,200400,0.0697,
ARKG,2021-02-09,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,28723,0.1131,
ARKG,2021-02-09,Sell,CDNA,14167L103,CAREDX INC,122543,0.0896,
ARKK,2021-02-09,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,12396,0.0225,
ARKK,2021-02-09,Sell,SPLK,848637104,SPLUNK INC,18206,0.0116,
ARKK,2021-02-09,Sell,SSYS,M85548101,STRATASYS LTD,34471,0.0068,
ARKK,2021-02-09,Sell,MTLS,57667T100,MATERIALISE NV,42572,0.0129,
ARKK,2021-02-09,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,40960,0.0028,
ARKQ,2021-02-09,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,42659,0.0179,
ARKQ,2021-02-09,Buy,PCAR,693718108,PACCAR INC,69427,0.1804,
ARKQ,2021-02-09,Buy,KMTUY,500458401,KOMATSU LTD,117221,0.0928,
ARKQ,2021-02-09,Sell,SSYS,M85548101,STRATASYS LTD,68059,0.0973,
ARKQ,2021-02-09,Sell,NNDM,63008G203,NANO DIMENSION LTD,485600,0.2079,
ARKQ,2021-02-09,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,20519,0.0311,
ARKQ,2021-02-09,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,76027,0.2713,
ARKW,2021-02-09,Buy,TWTR,90184L102,TWITTER INC,483217,0.34,
ARKW,2021-02-09,Buy,DKNG,26142R104,DRAFTKINGS INC,443500,0.3287,
ARKW,2021-02-09,Buy,SHOP,82509L107,SHOPIFY INC,29700,0.5025,
ARKW,2021-02-09,Sell,PINS,72352L106,PINTEREST INC,344840,0.3255,
ARKW,2021-02-09,Sell,API,00851L103,AGORA INC,99582,0.1155,
ARKW,2021-02-09,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,233369,0.2671,
ARKW,2021-02-09,Sell,SE,81141R100,SEA LTD,54529,0.1729,
