date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-12,ARKQ,ISRG,INTUITIVE SURGICAL INC,Buy,20872,799.260009765625,16682154.923828125,16682154.923828125
2021-02-12,ARKQ,TDY,TELEDYNE TECHNOLOGIES INC,Buy,40470,385.4700012207031,15599970.949401855,15599970.949401855
2021-02-12,ARKK,IRDM,IRIDIUM COMMUNICATIONS INC,Buy,327629,46.88999938964844,15362523.610031128,15362523.610031128
2021-02-12,ARKK,NVS,NOVARTIS AG,Buy,155469,91.4000015258789,14209866.837226868,14209866.837226868
2021-02-12,ARKQ,SPCE,VIRGIN GALACTIC HOLDINGS INC,Sell,-255600,53.349998474121094,-13636259.609985352,13636259.609985352
2021-02-12,ARKQ,LMT,LOCKHEED MARTIN CORP,Buy,39456,338.3999938964844,13351910.159179688,13351910.159179688
2021-02-12,ARKG,RHHBY,ROCHE HOLDING AG,Buy,132909,43.720001220703125,5810781.642242432,5810781.642242432
2021-02-12,ARKK,NTDOY,NINTENDO CO LTD,Buy,49837,78.8499984741211,3929647.373954773,3929647.373954773
2021-02-12,ARKK,FATE,FATE THERAPEUTICS INC,Buy,34300,100.66000366210938,3452638.1256103516,3452638.1256103516
2021-02-12,ARKK,MTLS,MATERIALISE NV,Sell,-15003,77.36000061035156,-1160632.0891571045,1160632.0891571045
2021-02-12,ARKQ,KMTUY,KOMATSU LTD,Buy,20000,30.0,600000.0,600000.0
2021-02-12,ARKG,LGVW,LONGVIEW ACQUISITION CORP,Buy,10037,23.68000030517578,237676.16306304932,237676.16306304932
2021-02-12,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-4400,21.020000457763672,-92488.00201416016,92488.00201416016
