fund,date,direction,ticker,cusip,company,shares,% of etf
ARKG,2021-02-12,Buy,RHHBY,771195104,ROCHE HOLDING AG,132909,0.0454
ARKG,2021-02-12,Buy,LGVW,543195101,LONGVIEW ACQUISITION CORP,10037,0.0018
ARKK,2021-02-12,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,327629,0.0557
ARKK,2021-02-12,Buy,NTDOY,654445303,NINTENDO CO LTD,49837,0.0142
ARKK,2021-02-12,Buy,NVS,66987V109,NOVARTIS AG,155469,0.0512
ARKK,2021-02-12,Buy,FATE,31189P102,FATE THERAPEUTICS INC,34300,0.0125
ARKK,2021-02-12,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,4400,0.0003
ARKK,2021-02-12,Sell,MTLS,57667T100,MATERIALISE NV,15003,0.0041
ARKQ,2021-02-12,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,40470,0.3899
ARKQ,2021-02-12,Buy,KMTUY,500458401,KOMATSU LTD,20000,0.0151
ARKQ,2021-02-12,Buy,ISRG,46120E602,INTUITIVE SURGICAL INC,20872,0.4174
ARKQ,2021-02-12,Buy,LMT,539830109,LOCKHEED MARTIN CORP,39456,0.3311
ARKQ,2021-02-12,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,255600,0.3487
